title,link,location,original_price,price,end_date
Maximum Auto Detail,https://www.livingsocial.com/deals/1616282-mobile-exterior-and-interior-detail,Los Angeles Area, 180,49,
CPRangeles.com,https://www.livingsocial.com/deals/1613252-cpr-certification-package,"Huntington Park, CA", 80,39,
hairby.kayla,https://www.livingsocial.com/deals/1647212-partial-balayage-deep-conditioning-and-haircut,"Los Angeles, CA", 220,99,
Bliss Blessing Wellness,https://www.livingsocial.com/deals/1610532-1-hour-massage,"Los Angeles, CA", 90,34,
One Wave Surf,https://www.livingsocial.com/deals/1604886-90-minute-surfing-lesson-or-board-rental,"Manhattan Beach, CA", 129,79,
AA Massage Supply,https://www.livingsocial.com/deals/1643802-60-minute-swedish-thai-or-aromatherapy-massage,"Los Angeles, CA", 85,42,
Little Ethiopia Restaurant,https://www.livingsocial.com/deals/1643652-20-or-36-to-spend-on-ethiopian-cuisine,"Los Angeles, CA", 20,13,
Haunted Hike to the Hollywood Sign,https://www.livingsocial.com/events/1643242-haunted-hike-to-the-hollywood-sign,"Los Angeles, CA", 29,19,Aug 11
Big City Hunt,https://www.livingsocial.com/deals/1631600-self-guided-scavenger-hunt-in-los-angeles,"Riverside, TX", 40,22,
Karen at Shag Hair Design,https://www.livingsocial.com/deals/1615358-haircut-blow-dry-and-style,"Los Angeles, CA", 85,34,
Danella Dutton,https://www.livingsocial.com/deals/1614588-5-or-10-group-salsa-or-bachata-classes,"Hollywood, CA", 65,34,
Kinetic Acupuncture,https://www.livingsocial.com/deals/1612468-acupuncture-consultation-and-treatment,"Los Angeles, CA", 100,24,
The Racing Experience,https://www.livingsocial.com/deals/1602346-the-racing-experience,Los Angeles Area, 149,69,
"Ticket for ""Dirty Dancing"" Movie Screening",https://www.livingsocial.com/events/1641234-ticket-for-dirty-dancing-movie-screening,"Los Angeles, CA", 20,13,use by Jun 16
"Ticket for ""Musical Parody of Mean Gurlz""",https://www.livingsocial.com/events/1637302-ticket-for-musical-parody-of-mean-gurlz,"Los Angeles, CA", 22,11,use by Apr 15
Dance Garden LA,https://www.livingsocial.com/deals/1630964-5-or-10-beginner-belly-dancing-classes,"Los Angeles, CA", 70,39,
Radha Yoga,https://www.livingsocial.com/deals/1622384-month-of-unlimited-yoga-classes,"Los Angeles, CA", 89,35,
Escape Room Gamez,https://www.livingsocial.com/deals/1609154-escape-room-admisison-for-3-or-5,"Los Angeles, CA", 120,84,
Lush Health & Beauty Spa,https://www.livingsocial.com/deals/1597498-swedish-or-muscle-tension-release-massage,"Downey, CA", 70,39,
"Ticket to ""The Last Breakfast Club""",https://www.livingsocial.com/events/1649944-ticket-to-the-last-breakfast-club,"Los Angeles, CA", 22,11,use by Jul 22
Mariscos Puerto Escondido,https://www.livingsocial.com/deals/1646914-40-or-80-to-spend-on-mexican-cuisine,"Los Angeles, CA", 40,20,
Yoga Circle Downtown,https://www.livingsocial.com/deals/1644812-10-or-month-of-drop-in-yoga-classes,"Los Angeles, CA", 140,49,
El Aguila Bakery,https://www.livingsocial.com/deals/1641828-3-00-for-3-5-vouchers,"Los Angeles, CA", 5,3,
White Boy Tacos,https://www.livingsocial.com/deals/1641710-8-to-spend-on-tacos-and-more-at-white-boy-tacos,"Los Angeles, CA", 8,4,
CarpetDry,https://www.livingsocial.com/deals/1641176-carpet-cleaning-for-2-or-3-rooms,Los Angeles Area, 140,70,
Reyes Winery,https://www.livingsocial.com/deals/1632684-vineyard-winery-and-gallery-tour-for-2,"Agua Dulce, CA", 95,44,
Davar Stephen Photography,https://www.livingsocial.com/deals/1630738-1-hour-on-location-maternity-shoot,Los Angeles Area, 300,150,
NikkRich Photography,https://www.livingsocial.com/deals/1630192-outdoor-photography-session-package,Los Angeles Area, 250,125,
Ticket to Robin Trower,https://www.livingsocial.com/events/1628312-ticket-to-robin-trower,"Los Angeles, CA", 47,20,use by May 21
Old Plank Sailing Adventures,https://www.livingsocial.com/deals/1627402-jetski-whale-and-dolphin-watching-adventure,"Marina Del Rey, CA", 450,270,
UnCabaret,https://www.livingsocial.com/deals/1613510-uncabaret-alternative-comedy-performance,"Los Angeles, CA", 60,29,
Unlimited Chiropractic Los Angeles,https://www.livingsocial.com/deals/1613412-chiropractic-care-package,"Los Angeles, CA", 260,39,
Neck and Back Pain Center,https://www.livingsocial.com/deals/1605008-chiropractic-package,"Los Angeles, CA", 225,39,
Burlesque Show: Tease for the Troops on April 23 at 7 p.m.,https://www.livingsocial.com/events/2009238-gl-pin-ups-on-tour-los-angeles,Multiple Locations, 37,15,use by Apr 22
"Groupon Exclusive: Girls Night Out The Show with Option for Meet and Greet on April 20 or 21, at 8 p.m.",https://www.livingsocial.com/events/2009146-gl-girls-night-out-the-show-globe-theatre-4-21-los-angeles,Multiple Locations, 21,12,use by Apr 19
"Muscles with Motion on Friday, March 31, at 7 p.m.",https://www.livingsocial.com/events/2009220-gl-muscles-with-motion-at-sevilla-nightclub-of-long-beach,"Long Beach, CA", 33,15,use by Mar 30
"Maz Jobrani on Saturday, April 22, at 8 p.m.",https://www.livingsocial.com/events/2009204-gl-maz-jobrani-saban-theatre,"Beverly Hills, CA", 81,46,use by Apr 21
"Retro Futura Tour with Howard Jones, The English Beat, and more on July 18 at 7 p.m.",https://www.livingsocial.com/events/2009510-gl-retro-futura-howard-jones-1,"Los Angeles, CA", 28,15,use by Apr  6
David Crosby on April 19 at 7 p.m.,https://www.livingsocial.com/events/2009472-gl-david-crosby-1,Multiple Locations, 65,35,use by Apr 10
"MercyMe on Friday, April 28, at 7 p.m.",https://www.livingsocial.com/events/2009396-gl-mercyme-2-4,"Los Angeles, CA", 41,28,use by Apr 25
David Crosby on April 25 at 7:30 p.m.,https://www.livingsocial.com/events/2009354-gl-an-evening-with-david-crosby-friends-1,Multiple Locations, 64,32,use by Apr 21
The Teragram Ballroom,https://www.livingsocial.com/deals/1649142-lunch-brunch-at-cafe-teragram-for-up-to-4-people,"Los Angeles, CA", 20,12,
